"female","wjtest01","wjtest07","wjtest10","age","cutoff","freelunch","agexcutoff","race"
1,34,11,0,-127,0,1,0,"black"
1,0,10,2,-134,0,1,0,"hispanic"
1,1,1,0,-56,0,0,0,"hispanic"
0,0,7,7,-41,0,1,0,"white"
0,4,4,4,-46,0,1,0,"hispanic"
0,14,11,13,-162,0,1,0,"white"
0,0,6,16,-310,0,1,0,"hispanic"
1,4,8,7,-275,0,1,0,"white"
1,3,0,6,340,1,1,340,"black"
0,7,7,11,334,1,1,334,"black"
0,5,7,16,176,1,1,176,"other"
1,1,5,15,285,1,1,285,"black"
0,2,11,11,50,1,1,50,"black"
0,6,9,12,32,1,1,32,"hispanic"
0,7,11,10,104,1,1,104,"other"
1,13,14,21,174,1,1,174,"black"
0,2,8,15,236,1,1,236,"hispanic"
0,9,6,9,228,1,1,228,"hispanic"
0,0,0,0,363,1,1,363,"hispanic"
1,5,11,12,331,1,1,331,"hispanic"
1,6,9,2,340,1,1,340,"black"
0,6,4,11,30,1,1,30,"black"
0,9,9,12,341,1,1,341,"black"
1,14,0,11,78,1,1,78,"black"
1,13,4,7,142,1,1,142,"white"
0,14,11,17,269,1,1,269,"hispanic"
1,8,9,9,141,1,1,141,"hispanic"
1,3,15,10,289,1,1,289,"other"
1,5,9,12,331,1,1,331,"hispanic"
1,8,9,18,47,1,1,47,"hispanic"
0,6,7,11,50,1,1,50,"hispanic"
1,7,12,15,177,1,1,177,"white"
0,10,10,11,35,1,1,35,"other"
0,7,1,7,-101,0,1,0,"black"
0,1,5,5,-90,0,1,0,"black"
1,0,0,0,-219,0,0,0,"black"
1,2,4,1,-297,0,1,0,"hispanic"
1,3,6,1,-304,0,1,0,"black"
0,2,8,10,-42,0,1,0,"black"
1,12,8,6,-133,0,1,0,"black"
1,4,4,2,-34,0,1,0,"black"
1,2,8,1,-251,0,1,0,"hispanic"
0,5,1,2,-248,0,1,0,"black"
0,2,14,13,-2,0,1,0,"black"
1,8,3,4,-226,0,1,0,"black"
0,1,3,1,-349,0,1,0,"white"
0,1,3,10,-219,0,1,0,"black"
1,9,8,7,-171,0,1,0,"black"
0,4,8,8,-71,0,1,0,"hispanic"
0,2,8,1,-221,0,1,0,"black"
0,4,1,5,-93,0,1,0,"white"
0,2,9,5,-86,0,1,0,"black"
1,0,7,0,-236,0,1,0,"black"
1,7,10,16,360,1,1,360,"other"
0,4,5,2,204,1,1,204,"black"
1,8,10,17,170,1,1,170,"black"
0,2,1,9,57,1,1,57,"black"
1,2,5,0,-296,0,0,0,"hispanic"
1,4,8,2,-331,0,1,0,"hispanic"
1,0,4,2,-130,0,1,0,"hispanic"
0,8,11,7,-32,0,1,0,"black"
1,9,10,12,-167,0,1,0,"black"
1,0,5,0,-293,0,1,0,"hispanic"
0,6,0,0,-276,0,1,0,"hispanic"
0,2,7,7,-249,0,1,0,"hispanic"
1,1,7,0,-269,0,1,0,"hispanic"
1,2,6,0,-167,0,1,0,"hispanic"
0,1,1,0,-6,0,1,0,"hispanic"
1,2,8,2,-112,0,1,0,"hispanic"
1,0,0,0,-215,0,1,0,"hispanic"
1,1,6,0,-323,0,1,0,"hispanic"
0,2,7,7,-249,0,1,0,"hispanic"
1,5,6,10,-180,0,1,0,"black"
0,1,7,6,-28,0,1,0,"hispanic"
1,1,5,0,-224,0,1,0,"hispanic"
1,1,4,3,-227,0,1,0,"black"
0,0,0,0,-178,0,1,0,"black"
0,13,14,12,-42,0,1,0,"black"
0,4,2,10,-176,0,1,0,"white"
1,1,11,2,-59,0,1,0,"hispanic"
1,3,4,6,-317,0,1,0,"white"
1,6,6,9,-190,0,1,0,"hispanic"
1,3,4,11,-139,0,1,0,"white"
0,2,4,11,-216,0,1,0,"white"
1,0,2,0,-40,0,1,0,"hispanic"
0,2,1,4,-255,0,1,0,"other"
0,4,0,9,-292,0,1,0,"hispanic"
1,9,3,14,-225,0,1,0,"black"
0,0,6,12,-168,0,1,0,"hispanic"
0,12,10,10,99,1,1,99,"black"
1,13,10,20,336,1,1,336,"black"
0,15,13,22,128,1,1,128,"black"
1,8,11,10,65,1,1,65,"hispanic"
0,3,9,14,109,1,1,109,"other"
0,10,8,2,218,1,1,218,"hispanic"
1,11,7,1,316,1,1,316,"white"
0,9,3,0,311,1,1,311,"black"
0,3,7,6,160,1,1,160,"hispanic"
1,14,10,13,131,1,1,131,"other"
1,10,7,14,252,1,1,252,"black"
1,0,4,14,308,1,1,308,"black"
0,9,10,20,262,1,1,262,"white"
1,4,5,14,93,1,1,93,"white"
0,2,3,1,183,1,1,183,"black"
1,5,10,8,163,1,1,163,"black"
1,10,10,15,206,1,1,206,"other"
1,5,7,13,86,1,1,86,"black"
1,12,12,16,335,1,1,335,"white"
1,7,7,11,343,1,1,343,"hispanic"
0,4,3,15,225,1,1,225,"hispanic"
1,27,14,20,164,1,1,164,"hispanic"
0,11,5,14,18,1,1,18,"black"
0,1,4,1,75,1,1,75,"hispanic"
0,7,9,17,344,1,1,344,"other"
0,12,4,10,72,1,1,72,"hispanic"
1,7,4,10,336,1,1,336,"white"
1,9,6,13,344,1,1,344,"other"
1,2,7,10,-94,0,1,0,"white"
1,5,10,9,-102,0,1,0,"other"
1,6,7,11,-216,0,0,0,"black"
1,1,2,3,-341,0,1,0,"hispanic"
